iter	Passed	Remaining
0	126	37782
1	133	19870
2	140	13929
3	147	10909
4	154	9141
5	162	7977
6	170	7130
7	177	6474
8	184	5959
9	191	5544
10	197	5198
11	204	4912
12	211	4666
13	217	4452
14	224	4274
15	229	4067
16	235	3927
17	242	3798
18	249	3684
19	255	3580
20	262	3484
21	269	3406
22	276	3331
23	283	3264
24	290	3200
25	297	3140
26	304	3078
27	310	3019
28	317	2966
29	323	2913
30	330	2864
31	336	2816
32	342	2773
33	349	2733
34	355	2693
35	361	2654
36	368	2618
37	374	2582
38	381	2550
39	388	2523
40	395	2498
41	402	2470
42	409	2444
43	415	2415
44	421	2389
45	427	2362
46	434	2336
47	440	2312
48	446	2287
49	452	2263
50	459	2242
51	465	2220
52	472	2200
53	478	2180
54	485	2162
55	492	2146
56	499	2129
57	505	2111
58	512	2092
59	518	2074
60	525	2058
61	531	2041
62	538	2025
63	545	2010
64	551	1995
65	558	1979
66	564	1963
67	571	1948
68	577	1934
69	584	1921
70	588	1897
71	594	1883
72	601	1870
73	608	1857
74	614	1843
75	620	1830
76	627	1816
77	633	1803
78	640	1790
79	646	1778
80	653	1766
81	659	1753
82	666	1741
83	672	1730
84	679	1719
85	686	1708
86	693	1698
87	700	1688
88	707	1677
89	714	1666
90	720	1655
91	727	1644
92	734	1634
93	741	1625
94	749	1617
95	756	1607
96	763	1597
97	769	1586
98	776	1576
99	783	1567
100	790	1557
101	797	1547
102	803	1537
103	810	1527
104	816	1517
105	823	1507
106	830	1497
107	836	1487
108	843	1477
109	849	1468
110	856	1458
111	863	1448
112	869	1439
113	876	1430
114	883	1421
115	890	1411
116	897	1403
117	903	1393
118	910	1385
119	917	1376
120	924	1367
121	931	1358
122	937	1349
123	944	1340
124	951	1332
125	959	1324
126	966	1316
127	973	1308
128	981	1301
129	989	1293
130	996	1285
131	1003	1277
132	1011	1269
133	1018	1262
134	1026	1254
135	1033	1246
136	1040	1237
137	1047	1229
138	1054	1221
139	1061	1213
140	1068	1205
141	1076	1197
142	1083	1189
143	1090	1181
144	1097	1173
145	1104	1164
146	1111	1156
147	1118	1148
148	1125	1140
149	1131	1131
150	1138	1123
151	1144	1114
152	1151	1105
153	1158	1097
154	1164	1089
155	1170	1080
156	1177	1072
157	1184	1064
158	1190	1055
159	1197	1047
160	1204	1039
161	1210	1031
162	1217	1023
163	1224	1015
164	1232	1008
165	1239	1000
166	1245	992
167	1252	984
168	1259	976
169	1266	968
170	1272	960
171	1280	952
172	1288	945
173	1295	938
174	1302	930
175	1309	922
176	1317	915
177	1324	907
178	1331	900
179	1339	893
180	1346	885
181	1354	878
182	1361	870
183	1368	862
184	1375	854
185	1381	846
186	1388	839
187	1395	831
188	1401	823
189	1408	815
190	1415	807
191	1422	799
192	1428	791
193	1435	784
194	1441	776
195	1449	768
196	1455	761
197	1462	753
198	1470	746
199	1477	738
200	1485	731
201	1492	723
202	1499	716
203	1506	708
204	1513	701
205	1520	693
206	1527	686
207	1535	679
208	1543	671
209	1550	664
210	1557	656
211	1564	649
212	1572	642
213	1579	634
214	1586	627
215	1594	620
216	1601	612
217	1609	605
218	1616	597
219	1623	590
220	1630	582
221	1637	575
222	1644	567
223	1651	560
224	1658	552
225	1666	545
226	1673	538
227	1681	531
228	1688	523
229	1695	516
230	1702	508
231	1709	500
232	1715	493
233	1722	485
234	1729	478
235	1736	470
236	1742	463
237	1749	455
238	1755	448
239	1762	440
240	1769	433
241	1776	425
242	1783	418
243	1790	410
244	1797	403
245	1804	396
246	1811	388
247	1817	381
248	1824	373
249	1831	366
250	1838	358
251	1844	351
252	1851	343
253	1858	336
254	1864	329
255	1871	321
256	1878	314
257	1885	306
258	1891	299
259	1898	292
260	1905	284
261	1911	277
262	1918	269
263	1925	262
264	1932	255
265	1939	247
266	1945	240
267	1953	233
268	1960	225
269	1967	218
270	1973	211
271	1980	203
272	1986	196
273	1993	189
274	2000	181
275	2006	174
276	2013	167
277	2020	159
278	2027	152
279	2034	145
280	2041	138
281	2048	130
282	2054	123
283	2061	116
284	2067	108
285	2074	101
286	2081	94
287	2088	87
288	2095	79
289	2101	72
290	2108	65
291	2115	57
292	2121	50
293	2128	43
294	2134	36
295	2141	28
296	2148	21
297	2155	14
298	2162	7
299	2168	0
