iter	Logloss
0	0.6428789169
1	0.6014704081
2	0.5686222511
3	0.5454800332
4	0.5284979298
5	0.5147795738
6	0.5008755379
7	0.4911290047
8	0.4835433911
9	0.4751841311
10	0.4700913704
11	0.4646213407
12	0.4589374864
13	0.4530686061
14	0.4488271866
15	0.4467848981
16	0.4450297556
17	0.4417409309
18	0.4403714103
19	0.4365131904
20	0.4345111429
21	0.432746015
22	0.4306741634
23	0.4285629625
24	0.4258597181
25	0.4236706344
26	0.4222741973
27	0.4202996885
28	0.4184523432
29	0.4172745433
30	0.4161312006
31	0.4147519701
32	0.4122825859
33	0.410357214
34	0.408772643
35	0.4067949537
36	0.4050175205
37	0.4029215042
38	0.4018091023
39	0.4009388889
40	0.399788374
41	0.3975273062
42	0.3962381822
43	0.3953049913
44	0.394297281
45	0.3927728392
46	0.3917137893
47	0.3899564008
48	0.3891612404
49	0.3886358154
50	0.3863720232
51	0.3852138301
52	0.3841913784
53	0.381815418
54	0.3800367964
55	0.3785758129
56	0.3775365816
57	0.3768543676
58	0.375841235
59	0.3746562867
60	0.3733099458
61	0.3719044264
62	0.3709274394
63	0.3696282674
64	0.3674760758
65	0.3667046675
66	0.3655746993
67	0.3649956558
68	0.3642351474
69	0.3636536092
70	0.3635784258
71	0.3627178433
72	0.361340535
73	0.359754731
74	0.358647007
75	0.3577395553
76	0.356502471
77	0.3556416349
78	0.354608026
79	0.3533480683
80	0.3520281812
81	0.3508376172
82	0.3503573864
83	0.3494601094
84	0.348829545
85	0.3476777181
86	0.3465456854
87	0.3455783372
88	0.3446137542
89	0.3436476326
90	0.3426406054
91	0.3417603505
92	0.3412211332
93	0.3403363036
94	0.3398124591
95	0.338951488
96	0.3374598181
97	0.3368156258
98	0.3354137925
99	0.3348057416
100	0.3338296355
101	0.3328177299
102	0.3321282175
103	0.3313972228
104	0.330826
105	0.3298893138
106	0.328941448
107	0.3279536923
108	0.3273839535
109	0.3264243471
110	0.3248406349
111	0.3239511361
112	0.323030871
113	0.3219155483
114	0.3211522439
115	0.3203307001
116	0.3197070776
117	0.3188701631
118	0.3179530167
119	0.3173834849
120	0.3163821706
121	0.3153726281
122	0.3142432059
123	0.3136978121
124	0.3123064754
125	0.3112271955
126	0.3105685126
127	0.3099721582
128	0.309269825
129	0.3081847289
130	0.3075637932
131	0.3070186664
132	0.3062951788
133	0.3054586823
134	0.3043604882
135	0.3034792618
136	0.3029545691
137	0.3024138587
138	0.3017670607
139	0.3009717632
140	0.3000962207
141	0.2995931497
142	0.2985211193
143	0.2980813444
144	0.2974503322
145	0.2967786377
146	0.296184951
147	0.2953816906
148	0.2947809071
149	0.2939408772
150	0.29270936
151	0.2920403533
152	0.2915851115
153	0.2902912924
154	0.2891664763
155	0.2885725741
156	0.2875316003
157	0.2867477213
158	0.2854883895
159	0.2848979838
160	0.2837172245
161	0.2828014647
162	0.2823711261
163	0.2817387911
164	0.2811616788
165	0.2805322599
166	0.2797850633
167	0.2789115707
168	0.2782082368
169	0.2772875831
170	0.2764360491
171	0.2755501979
172	0.2749909997
173	0.2742919458
174	0.2732919852
175	0.2729236213
176	0.2726916646
177	0.2718952807
178	0.2711282283
179	0.270225919
180	0.2695067842
181	0.2688385302
182	0.2678350819
183	0.2672296259
184	0.2663548043
185	0.2657430591
186	0.2652322531
187	0.2644126131
188	0.2638845383
189	0.263392586
190	0.2629278574
191	0.262400732
192	0.2616511372
193	0.2609611556
194	0.2601990885
195	0.2598359627
196	0.2594357255
197	0.2584601697
198	0.2580868349
199	0.2575010241
200	0.2568381491
201	0.256452149
202	0.255588533
203	0.255009663
204	0.2547131527
205	0.2538848328
206	0.2535823637
207	0.2532681938
208	0.2525911139
209	0.2519945958
210	0.2511845175
211	0.250885258
212	0.2502048748
213	0.2497002561
214	0.2491839234
215	0.2488836007
216	0.2483815299
217	0.2480067528
218	0.2475434356
219	0.2469220762
220	0.2462824149
221	0.2458577975
222	0.2453264951
223	0.2442969093
224	0.2439803931
225	0.2432548477
226	0.2429305006
227	0.2423037814
228	0.2418560895
229	0.2412739337
230	0.2408883931
231	0.2403950821
232	0.2399389719
233	0.2394043269
234	0.2388477988
235	0.2383507443
236	0.2378228078
237	0.2373155657
238	0.2367550878
239	0.2364141684
240	0.2361374441
241	0.2358753942
242	0.2355993689
243	0.2353045846
244	0.2343980294
245	0.2335162592
246	0.2327690358
247	0.2322671299
248	0.2316077304
249	0.230751415
250	0.2300349031
251	0.2295317454
252	0.2290259149
253	0.2288428947
254	0.2283955235
255	0.2280531195
256	0.2278079502
257	0.227459458
258	0.2272159138
259	0.2269613572
260	0.2263604268
261	0.2261572521
262	0.2258208951
263	0.2253256422
264	0.2248435733
265	0.2243140244
266	0.2240015837
267	0.2237474791
268	0.2234243005
269	0.222828298
270	0.2225200179
271	0.2220331075
272	0.2215574747
273	0.220917583
274	0.2205916831
275	0.2200633007
276	0.219647975
277	0.2192540387
278	0.2188591133
279	0.2183306336
280	0.2175967461
281	0.2171963954
282	0.2165888565
283	0.2160616997
284	0.2155790686
285	0.215345134
286	0.2148819485
287	0.2141794989
288	0.2134928703
289	0.2127280739
290	0.2123353326
291	0.2118737382
292	0.2115297503
293	0.2110072118
294	0.2107818818
295	0.2103672449
296	0.2099282435
297	0.2097247141
298	0.2095407024
299	0.2091835997
