iter	Passed	Remaining
0	124	37228
1	128	19096
2	132	13112
3	136	10081
4	140	8264
5	146	7157
6	150	6317
7	155	5677
8	160	5182
9	164	4778
10	169	4445
11	173	4173
12	178	3946
13	182	3734
14	187	3555
15	189	3367
16	194	3236
17	199	3118
18	203	3008
19	207	2909
20	212	2829
21	217	2745
22	221	2672
23	226	2603
24	230	2533
25	234	2472
26	239	2417
27	243	2366
28	248	2324
29	253	2277
30	257	2236
31	261	2192
32	266	2152
33	270	2114
34	274	2077
35	278	2043
36	283	2015
37	287	1984
38	291	1952
39	295	1921
40	299	1892
41	303	1863
42	307	1837
43	311	1810
44	315	1785
45	318	1761
46	323	1740
47	327	1719
48	331	1696
49	335	1677
50	339	1657
51	343	1636
52	347	1617
53	351	1599
54	355	1581
55	358	1563
56	362	1546
57	366	1529
58	370	1513
59	374	1497
60	378	1481
61	382	1466
62	385	1452
63	390	1440
64	394	1428
65	399	1416
66	403	1403
67	407	1391
68	412	1379
69	416	1367
70	418	1348
71	422	1337
72	426	1326
73	430	1314
74	434	1303
75	438	1292
76	442	1281
77	445	1269
78	449	1258
79	453	1247
80	457	1236
81	460	1225
82	464	1215
83	468	1205
84	472	1194
85	476	1185
86	480	1175
87	484	1166
88	487	1156
89	491	1147
90	495	1138
91	499	1128
92	503	1120
93	507	1112
94	511	1103
95	515	1095
96	519	1086
97	522	1077
98	527	1070
99	531	1062
100	535	1054
101	538	1046
102	542	1038
103	546	1030
104	550	1022
105	554	1015
106	558	1007
107	562	999
108	566	992
109	570	984
110	573	976
111	577	969
112	581	962
113	585	954
114	588	947
115	592	940
116	596	933
117	600	926
118	604	919
119	608	912
120	611	905
121	615	898
122	619	891
123	623	884
124	627	878
125	631	871
126	635	865
127	639	858
128	642	852
129	646	845
130	650	839
131	654	832
132	658	826
133	662	820
134	666	814
135	669	807
136	673	801
137	677	795
138	681	789
139	685	782
140	688	776
141	692	770
142	696	765
143	700	759
144	704	753
145	708	747
146	712	741
147	716	735
148	720	729
149	723	723
150	727	718
151	731	712
152	735	706
153	740	701
154	743	695
155	747	690
156	751	684
157	755	679
158	759	673
159	763	668
160	767	662
161	771	656
162	775	651
163	779	646
164	783	640
165	787	635
166	791	630
167	795	624
168	799	619
169	803	614
170	807	609
171	811	603
172	815	598
173	819	593
174	822	587
175	826	582
176	830	577
177	834	572
178	839	567
179	843	562
180	847	557
181	851	552
182	856	547
183	860	542
184	864	537
185	872	534
186	877	530
187	881	525
188	885	520
189	889	515
190	893	510
191	897	505
192	901	500
193	905	494
194	910	490
195	913	484
196	917	479
197	922	475
198	926	470
199	931	465
200	936	461
201	941	456
202	945	451
203	950	447
204	954	442
205	958	437
206	962	432
207	966	427
208	970	422
209	974	417
210	978	412
211	982	407
212	986	402
213	990	398
214	994	393
215	998	388
216	1002	383
217	1005	378
218	1010	373
219	1014	368
220	1018	363
221	1022	359
222	1025	354
223	1029	349
224	1033	344
225	1038	339
226	1042	335
227	1046	330
228	1050	325
229	1054	320
230	1058	316
231	1062	311
232	1066	306
233	1070	301
234	1073	296
235	1077	292
236	1081	287
237	1086	282
238	1090	278
239	1095	273
240	1099	269
241	1104	264
242	1108	260
243	1113	255
244	1117	250
245	1121	246
246	1125	241
247	1130	237
248	1134	232
249	1138	227
250	1143	223
251	1147	218
252	1152	214
253	1157	209
254	1161	204
255	1166	200
256	1171	196
257	1176	191
258	1184	187
259	1189	182
260	1193	178
261	1199	173
262	1203	169
263	1208	164
264	1214	160
265	1219	155
266	1223	151
267	1228	146
268	1233	142
269	1238	137
270	1243	133
271	1247	128
272	1252	123
273	1256	119
274	1261	114
275	1266	110
276	1270	105
277	1274	100
278	1280	96
279	1284	91
280	1288	87
281	1292	82
282	1296	77
283	1300	73
284	1304	68
285	1308	64
286	1312	59
287	1316	54
288	1320	50
289	1324	45
290	1328	41
291	1332	36
292	1336	31
293	1340	27
294	1344	22
295	1348	18
296	1352	13
297	1356	9
298	1360	4
299	1364	0
